University Rank,ICPC Rank,Solve,Penalty,Team
1,50,5,791,NSU_PyramidSchemers
2,86,4,347,NSU_CyanCubed
3,112,4,402,NSU_Veritasium
4,146,4,469,NSU_TeamAseh
5,185,4,589,NSU_TripleZero
6,238,3,266,NSU_Target_Next_ICPC
7,251,3,292,NSU_Sickle
8,281,3,366,NSU_CETUS
9,304,3,410,NSU_Drowning_in_Despair
10,321,3,457,NSU_Arithmystic
11,438,3,266,NSU_Target_Next_ICPC
12,451,3,292,NSU_Sickle
13,481,3,366,NSU_CETUS
14,504,3,410,NSU_Drowning_in_Despair
15,521,3,457,NSU_Arithmystic
16,633,1,15,NSU_ArPariNa
17,838,1,72,NSU_BeeCoders
18,874,1,86,NSU_KillFirstSearch
19,910,1,106,NSU__returnHome
20,980,1,152,NSU_Newbies
21,1276,0,0,NSU_Zeros
22,1289,0,0,NSU_ASKCoding
23,1342,0,0,NSU_NoobTrio
24,1356,0,0,NSU_Akatsuki
25,1396,0,0,NSU_Ctrl_Alt_Defeat
26,1412,0,0,NSU_Procrastinators
27,1423,0,0,NSU_PeraNaiChill
28,1695,0,0,NSU_FixingMyCode
29,2012,0,0,NSU_CodeBlocks
30,2015,0,0,NSU_SyntaxSquad
31,2076,0,0,NSU_LOLLIPOPS
32,2184,0,0,NSU_Time_Limit_Exceedors
33,2262,0,0,NSU_ByteMe
34,2291,0,0,NSU_Randoms
35,2328,0,0,NSU_Sufferers
36,2343,0,0,NSU_NOOB
37,2387,0,0,NSU_Rookies
38,2412,0,0,NSU_SemiColonials
